Open,High,Low,Close,Adj Close,Volume
53500,54400,53200,53800,53742.22266,933314
54200,54200,53000,53700,53642.32813,1132733
52900,53600,52000,52800,52743.29688,1536311
53300,53700,52600,52800,52743.29688,1215421
52100,53400,52100,52400,52343.72656,957793
52400,53500,52100,53400,53342.65234,940418
53700,54300,53300,54300,54241.68359,979793
54300,57900,54000,57900,57837.81641,3726752
57100,57600,56000,56600,56539.21484,1917854
55800,57800,55600,57200,57138.57031,1884358
57400,57500,55500,55800,55740.07422,1316579
55800,58800,55800,57200,57138.57031,2497737
58500,59200,58300,58700,58636.95703,2166853
58900,60000,58600,59200,59136.42188,2729859
60300,61900,59400,60800,60734.70313,4601300
60900,61200,59100,60400,60335.13281,2014084
60500,61200,59800,61100,61034.38281,397232
60600,61700,59400,59600,59535.99219,1918777
59600,59900,56600,57500,57438.24609,3326071
57200,57900,55900,56800,56739,2237185
58100,58800,57100,57600,57538.14063,1736180
58300,58900,55800,56400,56339.42969,1934438
56700,58000,56600,57700,57638.03125,1100723
57500,57500,56300,56700,56639.10547,927568
56300,56700,54700,56000,55939.85938,1817363
55700,57400,55600,56600,56539.21484,904913
56600,57200,55200,55300,55240.60938,1329616
55900,56000,53600,54300,54241.68359,2011521
53700,53900,52200,52500,52443.61719,1794783
51900,53100,51500,52700,52643.40234,1422821
53800,56600,53700,56300,56239.53516,2428683
57000,57400,54600,55000,54940.93359,1564624
54500,55000,53800,54000,53942.00781,982600
54400,55700,53600,53800,53742.22266,1256600
54500,54700,53700,54000,53942.00781,1532750
54000,55300,54000,54700,54641.25391,957145
53900,54900,53200,54900,54841.03906,886156
56800,61400,56700,59300,59236.3125,10199107
59500,59700,58300,58400,58337.28125,2310632
58800,59100,58100,58200,58137.49609,1409033
57900,60000,57800,58700,58636.95703,1943466
58800,58900,58000,58000,57937.71094,844219
58600,58900,57700,57900,57837.81641,972001
58100,58200,56600,57100,57038.67578,1330016
57500,58000,57000,57100,57038.67578,871467
57200,57700,56300,56800,56739,1022628
56800,57400,55200,55600,55600,1463434
55100,55300,53000,53300,53300,3056344
53600,54900,52900,53100,53100,1830422
52600,52900,51600,51700,51700,1737655
51400,52300,51400,51900,51900,902578
52200,53700,52000,52900,52900,1425978
53600,54200,53000,53200,53200,1466862
53200,54800,52700,54600,54600,1047193
55000,56000,54800,55800,55800,1388337
55900,56000,54100,54600,54600,1088171
54600,55800,54600,54900,54900,1792414
55000,55000,53900,54100,54100,926038
54200,54300,52700,53000,53000,1168724
52700,52800,51700,52000,52000,1116159
52400,53200,52300,52900,52900,869967
53900,54200,52800,53600,53600,1359646
53600,54300,53300,53600,53600,881388
53400,54500,53100,53800,53800,717693
54200,55200,53900,54900,54900,1170288
54200,55200,53900,54800,54800,779339
54800,55700,54400,54400,54400,955506
54500,54900,53500,53700,53700,870563
54100,54500,53600,53800,53800,775737
53200,53200,51000,51200,51200,2856932
51200,52000,51000,51000,51000,1332410
51200,51500,49100,49300,49300,2658438
48400,49100,48200,48750,48750,1559612
48850,49750,48300,49150,49150,1006988
49100,50100,48850,49250,49250,775713
48450,48800,47700,48050,48050,2005085
48050,48450,47650,47850,47850,946914
47100,48000,46850,47750,47750,801117
47200,47400,46600,46750,46750,1144123
46700,48000,46700,46900,46900,1043806
47350,50200,46900,49100,49100,2262675
48350,49600,47700,48600,48600,1184289
49450,49700,48450,49000,49000,641194
48700,48750,47050,47500,47500,1782455
48000,48400,47850,48100,48100,725443
47500,47900,47100,47400,47400,847788
47850,47900,47150,47300,47300,656101
47650,48600,47600,48500,48500,950410
48350,48850,48300,48600,48600,1015126
48150,48550,48050,48300,48300,889047
49000,50300,49000,49150,49150,1099015
