Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,78200.000000,79800.000000,78200.000000,79600.000000,78888.046875,17142847
2024-01-03,78500.000000,78800.000000,77000.000000,77000.000000,76311.304688,21753644
2024-01-04,76100.000000,77300.000000,76100.000000,76600.000000,75914.882813,15324439
2024-01-05,76700.000000,77100.000000,76400.000000,76600.000000,75914.882813,11304316
2024-01-08,77000.000000,77500.000000,76400.000000,76500.000000,75815.781250,11088724
2024-01-09,77400.000000,77700.000000,74300.000000,74700.000000,74031.875000,26019249
2024-01-10,75000.000000,75200.000000,73200.000000,73600.000000,72941.710938,20259529
2024-01-11,72900.000000,73600.000000,72700.000000,73200.000000,72545.296875,57691266
2024-01-12,73000.000000,74100.000000,72800.000000,73100.000000,72446.187500,13038939
2024-01-15,73200.000000,74000.000000,73200.000000,73900.000000,73239.031250,2957915
2024-01-16,73500.000000,73700.000000,72500.000000,72600.000000,71950.664063,14760415
2024-01-17,73100.000000,73300.000000,71000.000000,71000.000000,70364.968750,22683660
2024-01-18,71600.000000,72000.000000,70700.000000,71700.000000,71058.710938,17853397
2024-01-19,73500.000000,74700.000000,73000.000000,74700.000000,74031.875000,23363427
2024-01-22,75900.000000,76000.000000,75000.000000,75100.000000,74428.304688,19673375
2024-01-23,75700.000000,75800.000000,74300.000000,75200.000000,74527.406250,14786224
2024-01-24,75200.000000,75200.000000,73500.000000,74000.000000,73338.140625,12860661
2024-01-25,74200.000000,74800.000000,73700.000000,74100.000000,73437.242188,11737747
2024-01-26,73700.000000,74500.000000,73300.000000,73400.000000,72743.507813,11160062
2024-01-29,73800.000000,75200.000000,73500.000000,74400.000000,73734.554688,13976521
2024-01-30,75000.000000,75300.000000,73700.000000,74300.000000,73635.453125,12244418
2024-01-31,73400.000000,74000.000000,72500.000000,72700.000000,72049.765625,15703560
2024-02-01,73000.000000,74200.000000,72900.000000,73600.000000,72941.710938,19881033
2024-02-02,74000.000000,75200.000000,73700.000000,75200.000000,74527.406250,14955881
2024-02-05,74200.000000,74800.000000,73500.000000,74300.000000,73635.453125,19026021
2024-02-06,74300.000000,74700.000000,73300.000000,74400.000000,73734.554688,14559254
2024-02-07,74600.000000,75500.000000,74300.000000,75000.000000,74329.187500,16566445
2024-02-08,75000.000000,75200.000000,73600.000000,74100.000000,73437.242188,20810708
2024-02-13,74800.000000,75200.000000,74400.000000,75200.000000,74527.406250,21966745
2024-02-14,73700.000000,74300.000000,73700.000000,74000.000000,73338.140625,12434945
